Player_Name,Kaggle_Match_Name,City,Sample_Innings,Sample_Balls,Confidence_Weight,Overall_SR,City_SR,City_Baseline_SR,City_Deviation,Overall_Avg,City_Avg,Overall_Boundary_Pct
Abdul Samad,Abdul Samad,Ahmedabad,2,36,0.307,142.62,188.89,117.77,0.484,19.77,34.0,63.91
Abdul Samad,Abdul Samad,Bengaluru,1,7,0.0,142.62,414.29,133.24,0.0,19.77,0.0,63.91
Abdul Samad,Abdul Samad,Chennai,1,18,0.0,142.62,105.56,110.29,0.0,19.77,19.0,63.91
Abdul Samad,Abdul Samad,Delhi,2,29,0.0,142.62,148.28,139.7,0.0,19.77,21.5,63.91
Abdul Samad,Abdul Samad,Hyderabad,5,95,0.796,142.62,124.21,130.53,-0.157,19.77,39.33,63.91
Abdul Samad,Abdul Samad,Jaipur,1,7,0.0,142.62,257.14,127.06,0.0,19.77,0.0,63.91
Abdul Samad,Abdul Samad,Kolkata,1,11,0.0,142.62,136.36,139.66,0.0,19.77,15.0,63.91
Abdul Samad,Abdul Samad,Lucknow,1,10,0.0,142.62,210.0,112.83,0.0,19.77,21.0,63.91
Abdul Samad,Abdul Samad,Mullanpur,1,13,0.0,142.62,200.0,135.45,0.0,19.77,26.0,63.91
Abdul Samad,Abdul Samad,Mumbai,2,7,0.0,142.62,57.14,115.79,0.0,19.77,1.33,63.91
Abdul Samad,Abdul Samad,Pune,1,6,0.0,142.62,66.67,116.06,0.0,19.77,4.0,63.91
Abhinav Manohar,Abhinav Manohar,Ahmedabad,5,184,0.914,132.76,131.52,117.77,-0.013,16.5,24.2,62.34
Abhinav Manohar,Abhinav Manohar,Jaipur,1,2,0.0,132.76,50.0,127.06,0.0,16.5,1.0,62.34
Abhinav Manohar,Abhinav Manohar,Lucknow,1,5,0.0,132.76,60.0,112.83,0.0,16.5,3.0,62.34
Abhinav Manohar,Abhinav Manohar,Mumbai,6,124,0.854,132.76,148.39,115.79,0.169,16.5,23.0,62.34
Abhinav Manohar,Abhinav Manohar,Pune,2,14,0.0,132.76,92.86,116.06,0.0,16.5,6.5,62.34
Abhishek Sharma,Abhishek Sharma,Ahmedabad,2,54,0.349,154.08,133.33,117.77,-0.217,27.4,18.0,69.16
Abhishek Sharma,Abhishek Sharma,Bengaluru,1,23,0.0,154.08,152.17,133.24,0.0,27.4,35.0,69.16
Abhishek Sharma,Abhishek Sharma,Chennai,2,36,0.307,154.08,138.89,110.29,-0.181,27.4,25.0,69.16
Abhishek Sharma,Abhishek Sharma,Delhi,2,49,0.329,154.08,234.69,139.7,0.599,27.4,57.5,69.16
Abhishek Sharma,Abhishek Sharma,Hyderabad,11,131,0.861,154.08,203.05,130.53,0.417,27.4,26.6,69.16
Abhishek Sharma,Abhishek Sharma,Jaipur,1,36,0.307,154.08,158.33,127.06,0.038,27.4,57.0,69.16
Abhishek Sharma,Abhishek Sharma,Kolkata,2,38,0.309,154.08,173.68,139.66,0.146,27.4,33.0,69.16
Abhishek Sharma,Abhishek Sharma,Mullanpur,1,12,0.0,154.08,141.67,135.45,0.0,27.4,17.0,69.16
Abhishek Sharma,Abhishek Sharma,Mumbai,12,397,0.95,154.08,135.77,115.79,-0.198,27.4,31.71,69.16
Abhishek Sharma,Abhishek Sharma,Pune,3,71,0.515,154.08,135.21,116.06,-0.203,27.4,32.0,69.16
Abishek Porel,Abishek Porel,Ahmedabad,1,16,0.0,150.0,200.0,117.77,0.0,25.0,16.0,64.67
Abishek Porel,Abishek Porel,Bengaluru,1,8,0.0,150.0,62.5,133.24,0.0,25.0,5.0,64.67
Abishek Porel,Abishek Porel,Delhi,5,102,0.824,150.0,163.73,139.7,0.102,25.0,27.83,64.67
Abishek Porel,Abishek Porel,Guwahati,1,9,0.0,150.0,88.89,105.94,0.0,25.0,8.0,64.67
Abishek Porel,Abishek Porel,Jaipur,1,10,0.0,150.0,90.0,127.06,0.0,25.0,9.0,64.67
Abishek Porel,Abishek Porel,Kolkata,1,16,0.0,150.0,118.75,139.66,0.0,25.0,19.0,64.67
Abishek Porel,Abishek Porel,Mullanpur,1,10,0.0,150.0,320.0,135.45,0.0,25.0,32.0,64.67
Abishek Porel,Abishek Porel,Mumbai,1,31,0.304,150.0,132.26,115.79,-0.192,25.0,41.0,64.67
Abishek Porel,Abishek Porel,Visakhapatnam,2,11,0.0,150.0,90.91,130.42,0.0,25.0,10.0,64.67
Aiden Markram,Aiden Markram,Ahmedabad,2,58,0.372,131.27,93.1,117.77,-0.399,31.42,13.5,50.31
Aiden Markram,Aiden Markram,Bengaluru,1,15,0.0,131.27,153.33,133.24,0.0,31.42,0.0,50.31
Aiden Markram,Aiden Markram,Chennai,2,39,0.31,131.27,117.95,110.29,-0.159,31.42,23.0,50.31
Aiden Markram,Aiden Markram,Delhi,2,16,0.0,131.27,56.25,139.7,0.0,31.42,4.5,50.31
Aiden Markram,Aiden Markram,Hyderabad,9,203,0.933,131.27,128.08,130.53,-0.027,31.42,37.14,50.31
Aiden Markram,Aiden Markram,Jaipur,1,5,0.0,131.27,120.0,127.06,0.0,31.42,6.0,50.31
Aiden Markram,Aiden Markram,Kolkata,2,40,0.311,131.27,172.5,139.66,0.307,31.42,34.5,50.31
Aiden Markram,Aiden Markram,Lucknow,1,1,0.0,131.27,0.0,112.83,0.0,31.42,0.0,50.31
Aiden Markram,Aiden Markram,Mullanpur,1,2,0.0,131.27,0.0,135.45,0.0,31.42,0.0,50.31
Aiden Markram,Aiden Markram,Mumbai,10,255,0.95,131.27,137.65,115.79,0.069,31.42,50.14,50.31
Aiden Markram,Aiden Markram,Pune,3,77,0.605,131.27,138.96,116.06,0.083,31.42,53.5,50.31
Ajinkya Rahane,Ajinkya Rahane,Ahmedabad,2,38,0.309,135.47,152.63,117.77,0.179,23.31,9.67,57.99
Ajinkya Rahane,Ajinkya Rahane,Bengaluru,1,20,0.0,135.47,185.0,133.24,0.0,23.31,37.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Chennai,11,159,0.889,135.47,127.67,110.29,-0.093,23.31,18.45,57.99
Ajinkya Rahane,Ajinkya Rahane,Dharamsala,1,8,0.0,135.47,125.0,129.46,0.0,23.31,10.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Hyderabad,1,31,0.304,135.47,119.35,130.53,-0.137,23.31,37.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Jaipur,1,13,0.0,135.47,115.38,127.06,0.0,23.31,15.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Kolkata,1,31,0.304,135.47,235.48,139.66,0.743,23.31,0.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Lucknow,1,24,0.0,135.47,150.0,112.83,0.0,23.31,36.0,57.99
Ajinkya Rahane,Ajinkya Rahane,Mumbai,7,165,0.895,135.47,127.27,115.79,-0.089,23.31,23.33,57.99
Ajinkya Rahane,Ajinkya Rahane,Pune,2,36,0.307,135.47,102.78,116.06,-0.352,23.31,18.5,57.99
Ajinkya Rahane,Ajinkya Rahane,Visakhapatnam,1,31,0.304,135.47,158.06,130.42,0.193,23.31,49.0,57.99
Andre Russell,Andre Russell,Ahmedabad,1,4,0.0,163.77,50.0,117.77,0.0,27.94,1.0,76.14
Andre Russell,Andre Russell,Bengaluru,1,2,0.0,163.77,50.0,133.24,0.0,27.94,1.0,76.14
Andre Russell,Andre Russell,Chennai,2,14,0.0,163.77,107.14,110.29,0.0,27.94,15.0,76.14
Andre Russell,Andre Russell,Delhi,1,30,0.304,163.77,76.67,139.7,-0.647,27.94,0.0,76.14
Andre Russell,Andre Russell,Hyderabad,1,15,0.0,163.77,160.0,130.53,0.0,27.94,24.0,76.14
Andre Russell,Andre Russell,Kolkata,11,150,0.88,163.77,164.0,139.66,0.002,27.94,27.33,76.14
Andre Russell,Andre Russell,Lucknow,1,11,0.0,163.77,172.73,112.83,0.0,27.94,19.0,76.14
Andre Russell,Andre Russell,Mohali,1,19,0.0,163.77,189.47,145.91,0.0,27.94,36.0,76.14
Andre Russell,Andre Russell,Mumbai,10,207,0.937,163.77,163.77,115.79,0.0,27.94,30.82,76.14
Andre Russell,Andre Russell,Pune,3,52,0.34,163.77,184.62,116.06,0.224,27.94,48.0,76.14
Andre Russell,Andre Russell,Visakhapatnam,1,23,0.0,163.77,204.35,130.42,0.0,27.94,0.0,76.14
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Chennai,1,18,0.0,155.24,133.33,110.29,0.0,23.29,24.0,68.71
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Kolkata,3,28,0.0,155.24,150.0,139.66,0.0,23.29,14.0,68.71
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Lucknow,1,28,0.0,155.24,121.43,112.83,0.0,23.29,34.0,68.71
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Mumbai,1,7,0.0,155.24,200.0,115.79,0.0,23.29,14.0,68.71
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Visakhapatnam,1,28,0.0,155.24,200.0,130.42,0.0,23.29,56.0,68.71
Anuj Rawat,Anuj Rawat,Bengaluru,6,87,0.735,119.1,95.4,133.24,-0.194,19.88,27.67,59.12
Anuj Rawat,Anuj Rawat,Chennai,1,24,0.0,119.1,200.0,110.29,0.0,19.88,0.0,59.12
Anuj Rawat,Anuj Rawat,Delhi,1,3,0.0,119.1,266.67,139.7,0.0,19.88,0.0,59.12
Anuj Rawat,Anuj Rawat,Jaipur,1,11,0.0,119.1,263.64,127.06,0.0,19.88,0.0,59.12
Anuj Rawat,Anuj Rawat,Kolkata,1,5,0.0,119.1,20.0,139.66,0.0,19.88,1.0,59.12
Anuj Rawat,Anuj Rawat,Lucknow,1,11,0.0,119.1,81.82,112.83,0.0,19.88,9.0,59.12
Anuj Rawat,Anuj Rawat,Mumbai,8,123,0.853,119.1,100.0,115.79,-0.207,19.88,10.25,59.12
Anuj Rawat,Anuj Rawat,Pune,1,49,0.329,119.1,144.9,116.06,0.278,19.88,0.0,59.12
Anukul Roy,Anukul Roy,Chennai,1,2,0.0,108.33,150.0,110.29,0.0,8.67,0.0,46.15
Anukul Roy,Anukul Roy,Delhi,1,1,0.0,108.33,0.0,139.7,0.0,8.67,0.0,46.15
Anukul Roy,Anukul Roy,Hyderabad,1,6,0.0,108.33,200.0,130.53,0.0,8.67,0.0,46.15
Anukul Roy,Anukul Roy,Kolkata,1,6,0.0,108.33,100.0,139.66,0.0,8.67,0.0,46.15
Anukul Roy,Anukul Roy,Mohali,1,5,0.0,108.33,80.0,145.91,0.0,8.67,4.0,46.15
Anukul Roy,Anukul Roy,Pune,1,2,0.0,108.33,0.0,116.06,0.0,8.67,0.0,46.15
Arshad Khan,Arshad Khan,Bengaluru,1,7,0.0,122.86,185.71,133.24,0.0,14.33,0.0,41.86
Arshad Khan,Arshad Khan,Chennai,1,2,0.0,122.86,50.0,110.29,0.0,14.33,1.0,41.86
Arshad Khan,Arshad Khan,Kolkata,1,3,0.0,122.86,166.67,139.66,0.0,14.33,0.0,41.86
Arshad Khan,Arshad Khan,Lucknow,1,16,0.0,122.86,137.5,112.83,0.0,14.33,0.0,41.86
Arshad Khan,Arshad Khan,Mumbai,1,4,0.0,122.86,50.0,115.79,0.0,14.33,2.0,41.86
Arshin Kulkarni,Arshin Kulkarni,Lucknow,2,8,0.0,112.5,112.5,112.83,0.0,4.5,4.5,88.89
Ashutosh Sharma,Ashutosh Sharma,Ahmedabad,1,34,0.306,171.72,194.12,117.77,0.234,28.33,33.0,70.59
Ashutosh Sharma,Ashutosh Sharma,Dharamsala,2,15,0.0,171.72,86.67,129.46,0.0,28.33,6.5,70.59
Ashutosh Sharma,Ashutosh Sharma,Mullanpur,4,71,0.515,171.72,192.96,135.45,0.168,28.33,34.25,70.59
Atharva Taide,Atharva Taide,Chennai,1,17,0.0,147.47,76.47,110.29,0.0,20.86,13.0,63.01
Atharva Taide,Atharva Taide,Dharamsala,1,12,0.0,147.47,158.33,129.46,0.0,20.86,19.0,63.01
Atharva Taide,Atharva Taide,Lucknow,1,3,0.0,147.47,0.0,112.83,0.0,20.86,0.0,63.01
Atharva Taide,Atharva Taide,Mohali,2,42,0.314,147.47,176.19,145.91,0.196,20.86,37.0,63.01
Atharva Taide,Atharva Taide,Mullanpur,1,14,0.0,147.47,128.57,135.45,0.0,20.86,18.0,63.01
Atharva Taide,Atharva Taide,Mumbai,1,19,0.0,147.47,163.16,115.79,0.0,20.86,31.0,63.01
Axar Patel,Axar Patel,Ahmedabad,1,64,0.425,134.07,90.62,117.77,-0.454,25.73,29.0,57.7
Axar Patel,Axar Patel,Bengaluru,1,14,0.0,134.07,150.0,133.24,0.0,25.73,21.0,57.7
Axar Patel,Axar Patel,Chennai,1,14,0.0,134.07,164.29,110.29,0.0,25.73,23.0,57.7
Axar Patel,Axar Patel,Delhi,11,171,0.901,134.07,159.65,139.7,0.19,25.73,39.0,57.7
Axar Patel,Axar Patel,Guwahati,1,7,0.0,134.07,57.14,105.94,0.0,25.73,4.0,57.7
Axar Patel,Axar Patel,Hyderabad,1,34,0.306,134.07,102.94,130.53,-0.265,25.73,35.0,57.7
Axar Patel,Axar Patel,Jaipur,1,15,0.0,134.07,113.33,127.06,0.0,25.73,0.0,57.7
Axar Patel,Axar Patel,Kolkata,1,21,0.0,134.07,71.43,139.66,0.0,25.73,15.0,57.7
Axar Patel,Axar Patel,Lucknow,1,11,0.0,134.07,145.45,112.83,0.0,25.73,16.0,57.7
Axar Patel,Axar Patel,Mullanpur,1,13,0.0,134.07,161.54,135.45,0.0,25.73,21.0,57.7
Axar Patel,Axar Patel,Mumbai,10,147,0.877,134.07,136.05,115.79,0.021,25.73,50.0,57.7
Axar Patel,Axar Patel,Pune,1,4,0.0,134.07,200.0,116.06,0.0,25.73,8.0,57.7
Axar Patel,Axar Patel,Visakhapatnam,2,8,0.0,134.07,87.5,130.42,0.0,25.73,7.0,57.7
Ayush Badoni,Ayush Badoni,Ahmedabad,1,24,0.0,129.93,191.67,117.77,0.0,21.88,23.0,51.19
Ayush Badoni,Ayush Badoni,Bengaluru,2,32,0.305,129.93,115.62,133.24,-0.117,21.88,18.5,51.19
Ayush Badoni,Ayush Badoni,Chennai,2,21,0.0,129.93,90.48,110.29,0.0,21.88,19.0,51.19
Ayush Badoni,Ayush Badoni,Hyderabad,1,32,0.305,129.93,178.12,130.53,0.41,21.88,0.0,51.19
Ayush Badoni,Ayush Badoni,Jaipur,2,9,0.0,129.93,33.33,127.06,0.0,21.88,1.5,51.19
Ayush Badoni,Ayush Badoni,Kolkata,2,49,0.329,129.93,112.24,139.66,-0.131,21.88,27.5,51.19
Ayush Badoni,Ayush Badoni,Lucknow,10,124,0.854,129.93,140.32,112.83,0.118,21.88,29.0,51.19
Ayush Badoni,Ayush Badoni,Mohali,1,25,0.0,129.93,180.0,145.91,0.0,21.88,45.0,51.19
Ayush Badoni,Ayush Badoni,Mumbai,8,129,0.859,129.93,141.09,115.79,0.121,21.88,22.75,51.19
Ayush Badoni,Ayush Badoni,Pune,3,35,0.306,129.93,82.86,116.06,-0.507,21.88,9.67,51.19
Azmatullah Omarzai,Azmatullah Omarzai,Ahmedabad,1,22,0.0,127.27,154.55,117.77,0.0,10.5,17.0,47.62
Azmatullah Omarzai,Azmatullah Omarzai,Chennai,1,11,0.0,127.27,109.09,110.29,0.0,10.5,12.0,47.62
Azmatullah Omarzai,Azmatullah Omarzai,Delhi,1,2,0.0,127.27,50.0,139.7,0.0,10.5,1.0,47.62
Azmatullah Omarzai,Azmatullah Omarzai,Mullanpur,1,10,0.0,127.27,130.0,135.45,0.0,10.5,13.0,47.62
Darshan Nalkande,Darshan Nalkande,Chennai,1,1,0.0,100.0,0.0,110.29,0.0,6.0,0.0,50.0
Darshan Nalkande,Darshan Nalkande,Lucknow,1,11,0.0,100.0,109.09,112.83,0.0,6.0,12.0,50.0
Dasun Shanaka,Dasun Shanaka,Ahmedabad,1,12,0.0,100.0,133.33,117.77,0.0,13.0,0.0,53.85
Dasun Shanaka,Dasun Shanaka,Bengaluru,1,3,0.0,100.0,0.0,133.24,0.0,13.0,0.0,53.85
Dasun Shanaka,Dasun Shanaka,Chennai,1,16,0.0,100.0,106.25,110.29,0.0,13.0,17.0,53.85
David Miller,David Miller,Ahmedabad,12,350,0.95,140.03,147.43,117.77,0.077,41.31,36.86,56.42
David Miller,David Miller,Bengaluru,2,29,0.0,140.03,141.38,133.24,0.0,41.31,20.5,56.42
David Miller,David Miller,Chennai,2,24,0.0,140.03,112.5,110.29,0.0,41.31,13.5,56.42
David Miller,David Miller,Delhi,2,41,0.312,140.03,214.63,139.7,0.554,41.31,88.0,56.42
David Miller,David Miller,Kolkata,2,56,0.359,140.03,182.14,139.66,0.313,41.31,0.0,56.42
David Miller,David Miller,Lucknow,1,12,0.0,140.03,58.33,112.83,0.0,41.31,7.0,56.42
David Miller,David Miller,Mohali,1,18,0.0,140.03,111.11,145.91,0.0,41.31,0.0,56.42
David Miller,David Miller,Mullanpur,1,7,0.0,140.03,71.43,135.45,0.0,41.31,5.0,56.42
David Miller,David Miller,Mumbai,12,287,0.95,140.03,132.06,115.79,-0.086,41.31,31.58,56.42
David Miller,David Miller,Pune,3,93,0.784,140.03,154.84,116.06,0.159,41.31,144.0,56.42
Deepak Hooda,Deepak Hooda,Ahmedabad,1,22,0.0,130.14,100.0,117.77,0.0,20.22,11.0,53.56
Deepak Hooda,Deepak Hooda,Bengaluru,1,11,0.0,130.14,127.27,133.24,0.0,20.22,14.0,53.56
Deepak Hooda,Deepak Hooda,Chennai,3,26,0.0,130.14,134.62,110.29,0.0,20.22,35.0,53.56
Deepak Hooda,Deepak Hooda,Jaipur,2,17,0.0,130.14,164.71,127.06,0.0,20.22,14.0,53.56
Deepak Hooda,Deepak Hooda,Kolkata,2,38,0.309,130.14,147.37,139.66,0.128,20.22,28.0,53.56
Deepak Hooda,Deepak Hooda,Lucknow,10,108,0.836,130.14,115.74,112.83,-0.164,20.22,11.36,53.56
Deepak Hooda,Deepak Hooda,Mohali,1,6,0.0,130.14,183.33,145.91,0.0,20.22,0.0,53.56
Deepak Hooda,Deepak Hooda,Mumbai,10,288,0.95,130.14,135.76,115.79,0.061,20.22,30.08,53.56
Deepak Hooda,Deepak Hooda,Pune,3,84,0.702,130.14,129.76,116.06,-0.004,20.22,36.33,53.56
Devdutt Padikkal,Devdutt Padikkal,Ahmedabad,3,94,0.791,122.57,82.98,117.77,-0.414,23.61,13.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Bengaluru,2,49,0.329,122.57,126.53,133.24,0.032,23.61,31.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Chennai,2,46,0.321,122.57,117.39,110.29,-0.062,23.61,27.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Dharamsala,1,30,0.304,122.57,170.0,129.46,0.41,23.61,51.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Guwahati,1,27,0.0,122.57,81.48,105.94,0.0,23.61,22.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Hyderabad,1,5,0.0,122.57,60.0,130.53,0.0,23.61,3.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Jaipur,5,56,0.359,122.57,132.14,127.06,0.086,23.61,14.8,62.25
Devdutt Padikkal,Devdutt Padikkal,Kolkata,1,21,0.0,122.57,138.1,139.66,0.0,23.61,29.0,62.25
Devdutt Padikkal,Devdutt Padikkal,Lucknow,3,22,0.0,122.57,100.0,112.83,0.0,23.61,7.33,62.25
Devdutt Padikkal,Devdutt Padikkal,Mumbai,13,295,0.95,122.57,128.47,115.79,0.064,23.61,22.29,62.25
Devdutt Padikkal,Devdutt Padikkal,Pune,2,38,0.309,122.57,134.21,116.06,0.125,23.61,25.5,62.25
Devon Conway,Devon Conway,Ahmedabad,2,68,0.473,141.28,155.88,117.77,0.153,48.63,26.5,62.34
Devon Conway,Devon Conway,Bengaluru,1,46,0.321,141.28,182.61,133.24,0.338,48.63,84.0,62.34
Devon Conway,Devon Conway,Chennai,8,300,0.95,141.28,136.33,110.29,-0.059,48.63,58.43,62.34
Devon Conway,Devon Conway,Delhi,1,53,0.344,141.28,169.81,139.7,0.212,48.63,90.0,62.34
Devon Conway,Devon Conway,Jaipur,1,16,0.0,141.28,50.0,127.06,0.0,48.63,8.0,62.34
Devon Conway,Devon Conway,Kolkata,1,40,0.311,141.28,140.0,139.66,-0.01,48.63,56.0,62.34
Devon Conway,Devon Conway,Mumbai,6,138,0.868,141.28,147.1,115.79,0.063,48.63,29.0,62.34
Devon Conway,Devon Conway,Pune,2,93,0.784,141.28,159.14,116.06,0.192,48.63,148.0,62.34
Dewald Brevis,Dewald Brevis,Ahmedabad,1,76,0.59,136.18,121.05,117.77,-0.158,23.0,46.0,71.5
Dewald Brevis,Dewald Brevis,Mumbai,5,69,0.487,136.18,124.64,115.79,-0.125,23.0,14.33,71.5
Dewald Brevis,Dewald Brevis,Pune,3,55,0.354,136.18,156.36,116.06,0.217,23.0,28.67,71.5
Dhruv Jurel,Dhruv Jurel,Ahmedabad,1,20,0.0,152.69,180.0,117.77,0.0,21.25,18.0,59.61
Dhruv Jurel,Dhruv Jurel,Bengaluru,1,19,0.0,152.69,200.0,133.24,0.0,21.25,0.0,59.61
Dhruv Jurel,Dhruv Jurel,Chennai,1,6,0.0,152.69,66.67,110.29,0.0,21.25,4.0,59.61
Dhruv Jurel,Dhruv Jurel,Dharamsala,1,3,0.0,152.69,133.33,129.46,0.0,21.25,0.0,59.61
Dhruv Jurel,Dhruv Jurel,Guwahati,2,19,0.0,152.69,221.05,105.94,0.0,21.25,0.0,59.61
Dhruv Jurel,Dhruv Jurel,Hyderabad,1,3,0.0,152.69,33.33,130.53,0.0,21.25,1.0,59.61
Dhruv Jurel,Dhruv Jurel,Jaipur,7,60,0.387,152.69,146.67,127.06,-0.054,21.25,17.6,59.61
Dhruv Jurel,Dhruv Jurel,Kolkata,1,4,0.0,152.69,50.0,139.66,0.0,21.25,2.0,59.61
Dhruv Jurel,Dhruv Jurel,Lucknow,1,34,0.306,152.69,152.94,112.83,0.003,21.25,0.0,59.61
Dhruv Jurel,Dhruv Jurel,Mullanpur,1,11,0.0,152.69,54.55,135.45,0.0,21.25,6.0,59.61
Dhruv Jurel,Dhruv Jurel,Mumbai,1,3,0.0,152.69,66.67,115.79,0.0,21.25,2.0,59.61
Donovan Ferreira,Donovan Ferreira,Delhi,1,3,0.0,33.33,33.33,139.7,0.0,1.0,1.0,0.0
Faf du Plessis,Faf du Plessis,Ahmedabad,2,80,0.649,145.07,135.0,117.77,-0.105,40.59,27.0,62.68
Faf du Plessis,Faf du Plessis,Bengaluru,12,283,0.95,145.07,179.86,133.24,0.284,40.59,42.42,62.68
Faf du Plessis,Faf du Plessis,Chennai,1,24,0.0,145.07,154.17,110.29,0.0,40.59,37.0,62.68
Faf du Plessis,Faf du Plessis,Delhi,1,33,0.305,145.07,139.39,139.7,-0.042,40.59,46.0,62.68
Faf du Plessis,Faf du Plessis,Dharamsala,1,7,0.0,145.07,128.57,129.46,0.0,40.59,9.0,62.68
Faf du Plessis,Faf du Plessis,Hyderabad,2,60,0.387,145.07,163.33,130.53,0.155,40.59,49.0,62.68
Faf du Plessis,Faf du Plessis,Jaipur,2,78,0.62,145.07,129.49,127.06,-0.14,40.59,50.5,62.68
Faf du Plessis,Faf du Plessis,Kolkata,3,21,0.0,145.07,152.38,139.66,0.0,40.59,10.67,62.68
Faf du Plessis,Faf du Plessis,Lucknow,1,40,0.311,145.07,110.0,112.83,-0.399,40.59,44.0,62.68
Faf du Plessis,Faf du Plessis,Mohali,1,57,0.366,145.07,156.14,145.91,0.075,40.59,89.0,62.68
Faf du Plessis,Faf du Plessis,Mumbai,13,501,0.95,145.07,145.71,115.79,0.007,40.59,45.62,62.68
Faf du Plessis,Faf du Plessis,Pune,3,69,0.487,145.07,117.39,116.06,-0.298,40.59,27.0,62.68
Glenn Maxwell,Glenn Maxwell,Ahmedabad,1,26,0.0,158.43,184.62,117.77,0.0,29.76,24.0,68.48
Glenn Maxwell,Glenn Maxwell,Bengaluru,11,170,0.9,158.43,184.71,133.24,0.215,29.76,31.4,68.48
Glenn Maxwell,Glenn Maxwell,Chennai,1,1,0.0,158.43,0.0,110.29,0.0,29.76,0.0,68.48
Glenn Maxwell,Glenn Maxwell,Delhi,1,1,0.0,158.43,0.0,139.7,0.0,29.76,0.0,68.48
Glenn Maxwell,Glenn Maxwell,Hyderabad,1,3,0.0,158.43,166.67,130.53,0.0,29.76,0.0,68.48
Glenn Maxwell,Glenn Maxwell,Jaipur,2,38,0.309,158.43,152.63,127.06,-0.052,29.76,29.0,68.48
Glenn Maxwell,Glenn Maxwell,Kolkata,2,17,0.0,158.43,82.35,139.66,0.0,29.76,7.0,68.48
Glenn Maxwell,Glenn Maxwell,Lucknow,1,5,0.0,158.43,80.0,112.83,0.0,29.76,4.0,68.48
Glenn Maxwell,Glenn Maxwell,Mohali,1,1,0.0,158.43,0.0,145.91,0.0,29.76,0.0,68.48
Glenn Maxwell,Glenn Maxwell,Mumbai,10,216,0.946,158.43,181.48,115.79,0.249,29.76,35.64,68.48
Glenn Maxwell,Glenn Maxwell,Pune,3,6,0.0,158.43,183.33,116.06,0.0,29.76,11.0,68.48
