match_id,year,team_a,team_b,team_a_xi,team_b_xi,venue,winner,toss_winner,bat_first
1304047,2022,CSK,KKR,Robin Uthappa|Dwayne Bravo|Tushar Deshpande|Ambati Rayudu|Mitchell Santner|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Adam Milne|Devon Conway|Ravindra Jadeja,Sunil Narine|Ajinkya Rahane|Sam Billings|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Sheldon Jackson|Shreyas Iyer,"Wankhede Stadium, Mumbai",KKR,KKR,CSK
1304048,2022,DC,MI,Rovman Powell|Mandeep Singh|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Shardul Thakur|Axar Patel|Khaleel Ahmed|Kamlesh Nagarkoti|Lalit Yadav|Tim Seifert,Tim David|Rohit Sharma|Anmolpreet Singh|Ishan Kishan|Murugan Ashwin|Tymal Mills|Basil Thampi|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Brabourne Stadium, Mumbai",DC,DC,MI
1304049,2022,PBKS,RCB,Rahul Chahar|Sandeep Sharma|M Shahrukh Khan|Odean Smith|Raj Bawa|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Harpreet Brar|Mayank Agarwal|Bhanuka Rajapaksa,Wanindu Hasaranga de Silva|Mohammed Siraj|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,KXIP,PBKS
1304050,2022,GT,LSG,Vijay Shankar|Varun Aaron|Mohammed Shami|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Matthew Wade,Manish Pandey|Avesh Khan|KL Rahul|Krunal Pandya|Mohsin Khan|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,"Wankhede Stadium, Mumbai",GT,GT,LSG
1304051,2022,SRH,RR,Romario Shepherd|Washington Sundar|Aiden Markram|Nicholas Pooran|Bhuvneshwar Kumar|Abdul Samad|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,Ravichandran Ashwin|Shimron Hetmyer|Sanju Samson|Jos Buttler|Devdutt Padikkal|Nathan Coulter-Nile|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal|Yashasvi Jaiswal,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,RR
1304052,2022,RCB,KKR,Wanindu Hasaranga de Silva|Mohammed Siraj|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Sherfane Rutherford|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,Sunil Narine|Tim Southee|Ajinkya Rahane|Sam Billings|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Venkatesh Iyer|Sheldon Jackson|Shreyas Iyer,"Dr DY Patil Sports Academy, Navi Mumbai",RCB,RCB,KKR
1304053,2022,LSG,CSK,Manish Pandey|Avesh Khan|Andrew Tye|KL Rahul|Krunal Pandya|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,Robin Uthappa|Dwayne Bravo|Tushar Deshpande|Ambati Rayudu|Dwaine Pretorius|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Ravindra Jadeja|Mukesh Choudhary|Moeen Ali,"Brabourne Stadium, Mumbai",LSG,LSG,CSK
1304054,2022,KKR,PBKS,Sunil Narine|Tim Southee|Ajinkya Rahane|Sam Billings|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Varun Chakravarthy|Shreyas Iyer,Rahul Chahar|Kagiso Rabada|M Shahrukh Khan|Odean Smith|Raj Bawa|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Harpreet Brar|Mayank Agarwal|Bhanuka Rajapaksa,"Wankhede Stadium, Mumbai",KKR,KKR,PBKS
1304055,2022,MI,RR,Tim David|Rohit Sharma|Anmolpreet Singh|Ishan Kishan|Murugan Ashwin|Tymal Mills|Basil Thampi|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,Ravichandran Ashwin|Shimron Hetmyer|Navdeep Saini|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal|Yashasvi Jaiswal,"Dr DY Patil Sports Academy, Navi Mumbai",RR,MI,RR
1304056,2022,GT,DC,Vijay Shankar|Varun Aaron|Mohammed Shami|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Matthew Wade,Rovman Powell|Mandeep Singh|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Axar Patel|Shardul Thakur|Khaleel Ahmed|Mustafizur Rahman|Lalit Yadav|Tim Seifert,"Maharashtra Cricket Association Stadium, Pune",GT,DC,GT
1304057,2022,CSK,PBKS,Robin Uthappa|Dwayne Bravo|Ambati Rayudu|Dwaine Pretorius|Ruturaj Gaikwad|Chris Jordan|Shivam Dube|MS Dhoni|Ravindra Jadeja|Mukesh Choudhary|Moeen Ali,Kagiso Rabada|Rahul Chahar|M Shahrukh Khan|Odean Smith|Jitesh Sharma|Vaibhav Arora|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal|Bhanuka Rajapaksa,"Brabourne Stadium, Mumbai",PBKS,CSK,PBKS
1304058,2022,SRH,LSG,Romario Shepherd|Washington Sundar|Aiden Markram|Nicholas Pooran|Bhuvneshwar Kumar|Abdul Samad|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,Manish Pandey|Avesh Khan|Andrew Tye|KL Rahul|Jason Holder|Krunal Pandya|Quinton de Kock|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,"Dr DY Patil Sports Academy, Navi Mumbai",LSG,SRH,LSG
1304059,2022,RR,RCB,Ravichandran Ashwin|Shimron Hetmyer|Navdeep Saini|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Prasidh Krishna|Yuzvendra Chahal|Yashasvi Jaiswal,Wanindu Hasaranga de Silva|Mohammed Siraj|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Sherfane Rutherford|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,"Wankhede Stadium, Mumbai",RCB,RCB,RR
1304060,2022,KKR,MI,Sunil Narine|Ajinkya Rahane|Sam Billings|Nitish Rana|Andre Russell|Rasikh Salam|Umesh Yadav|Venkatesh Iyer|Varun Chakravarthy|Pat Cummins|Shreyas Iyer,Rohit Sharma|Suryakumar Yadav|Ishan Kishan|Murugan Ashwin|Tymal Mills|Dewald Brevis|Basil Thampi|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Maharashtra Cricket Association Stadium, Pune",KKR,KKR,MI
1304061,2022,LSG,DC,Avesh Khan|Andrew Tye|KL Rahul|Jason Holder|Krunal Pandya|Quinton de Kock|Krishnappa Gowtham|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,Rovman Powell|Prithvi Shaw|Anrich Nortje|Kuldeep Yadav|Rishabh Pant|Sarfaraz Khan|Shardul Thakur|Axar Patel|David Warner|Mustafizur Rahman|Lalit Yadav,"Dr DY Patil Sports Academy, Navi Mumbai",LSG,LSG,DC
1304062,2022,PBKS,GT,Kagiso Rabada|Rahul Chahar|M Shahrukh Khan|Odean Smith|Jonny Bairstow|Jitesh Sharma|Vaibhav Arora|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal,Matthew Wade|Darshan Nalkande|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Mohammed Shami|Hardik Pandya|Shubman Gill|David Miller|Sai Sudharsan,"Brabourne Stadium, Mumbai",GT,GT,PBKS
1304063,2022,CSK,SRH,Robin Uthappa|Dwayne Bravo|Ambati Rayudu|Ruturaj Gaikwad|Chris Jordan|Shivam Dube|MS Dhoni|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary|Moeen Ali,Marco Jansen|Bhuvneshwar Kumar|Washington Sundar|Aiden Markram|Nicholas Pooran|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,"Dr DY Patil Sports Academy, Navi Mumbai",SRH,SRH,CSK
1304064,2022,RCB,MI,Wanindu Hasaranga de Silva|Mohammed Siraj|Glenn Maxwell|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,Ramandeep Singh|Rohit Sharma|Suryakumar Yadav|Jaydev Unadkat|Ishan Kishan|Murugan Ashwin|Dewald Brevis|Basil Thampi|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Maharashtra Cricket Association Stadium, Pune",RCB,RCB,MI
1304065,2022,KKR,DC,Sunil Narine|Ajinkya Rahane|Sam Billings|Nitish Rana|Andre Russell|Rasikh Salam|Umesh Yadav|Venkatesh Iyer|Varun Chakravarthy|Pat Cummins|Shreyas Iyer,Rovman Powell|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Axar Patel|Shardul Thakur|Khaleel Ahmed|David Warner|Mustafizur Rahman|Lalit Yadav,"Brabourne Stadium, Mumbai",DC,KKR,DC
1304066,2022,RR,LSG,Ravichandran Ashwin|Shimron Hetmyer|Kuldeep Sen|Sanju Samson|Jos Buttler|Devdutt Padikkal|Rassie van der Dussen|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal,Marcus Stoinis|Avesh Khan|KL Rahul|Jason Holder|Krunal Pandya|Dushmantha Chameera|Quinton de Kock|Krishnappa Gowtham|Ravi Bishnoi|Ayush Badoni|Deepak Hooda,"Wankhede Stadium, Mumbai",RR,LSG,RR
1304067,2022,SRH,GT,Marco Jansen|Bhuvneshwar Kumar|Washington Sundar|Aiden Markram|Nicholas Pooran|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,Matthew Wade|Mohammed Shami|Darshan Nalkande|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Sai Sudharsan,"Dr DY Patil Sports Academy, Navi Mumbai",SRH,SRH,GT
1304068,2022,CSK,RCB,Robin Uthappa|Dwayne Bravo|Ruturaj Gaikwad|Chris Jordan|Shivam Dube|MS Dhoni|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary|Moeen Ali,Wanindu Hasaranga de Silva|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Suyash Prabhudessai|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Akash Deep|Virat Kohli|Anuj Rawat,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,RCB,CSK
1304069,2022,MI,PBKS,Jaydev Unadkat|Rohit Sharma|Suryakumar Yadav|Ishan Kishan|Murugan Ashwin|Tymal Mills|Dewald Brevis|Basil Thampi|Kieron Pollard|Jasprit Bumrah|Tilak Varma,Kagiso Rabada|Rahul Chahar|M Shahrukh Khan|Odean Smith|Jonny Bairstow|Jitesh Sharma|Vaibhav Arora|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,PBKS
1304070,2022,RR,GT,Ravichandran Ashwin|Shimron Hetmyer|Kuldeep Sen|Sanju Samson|Jos Buttler|Devdutt Padikkal|Rassie van der Dussen|James Neesham|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal,Vijay Shankar|Mohammed Shami|Yash Dayal|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Matthew Wade,"Dr DY Patil Sports Academy, Navi Mumbai",GT,RR,GT
1304071,2022,SRH,KKR,Marco Jansen|Bhuvneshwar Kumar|Aiden Markram|Nicholas Pooran|Jagadeesha Suchith|Abhishek Sharma|Umran Malik|Rahul Tripathi|Shashank Singh|T Natarajan|Kane Williamson,Sunil Narine|Aman Hakim Khan|Aaron Finch|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Venkatesh Iyer|Sheldon Jackson|Pat Cummins|Shreyas Iyer,"Brabourne Stadium, Mumbai",SRH,SRH,KKR
1304072,2022,MI,LSG,Jaydev Unadkat|Rohit Sharma|Suryakumar Yadav|Fabian Allen|Ishan Kishan|Murugan Ashwin|Tymal Mills|Dewald Brevis|Kieron Pollard|Jasprit Bumrah|Tilak Varma,Marcus Stoinis|Manish Pandey|Avesh Khan|KL Rahul|Jason Holder|Krunal Pandya|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Deepak Hooda,"Brabourne Stadium, Mumbai",LSG,MI,LSG
1304073,2022,DC,RCB,Mitchell Marsh|Rovman Powell|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Shardul Thakur|Axar Patel|Khaleel Ahmed|David Warner|Mustafizur Rahman|Lalit Yadav,Wanindu Hasaranga de Silva|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Suyash Prabhudessai|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Virat Kohli|Anuj Rawat|Harshal Patel,"Wankhede Stadium, Mumbai",RCB,DC,RCB
1304074,2022,PBKS,SRH,Kagiso Rabada|Rahul Chahar|M Shahrukh Khan|Odean Smith|Jonny Bairstow|Jitesh Sharma|Vaibhav Arora|Liam Livingstone|Prabhsimran Singh|Shikhar Dhawan|Arshdeep Singh,Marco Jansen|Bhuvneshwar Kumar|Aiden Markram|Nicholas Pooran|Jagadeesha Suchith|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,"Dr DY Patil Sports Academy, Navi Mumbai",SRH,SRH,PBKS
1304075,2022,GT,CSK,Wriddhiman Saha|Vijay Shankar|Alzarri Joseph|Yash Dayal|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Shubman Gill|David Miller|Mohammed Shami,Robin Uthappa|Dwayne Bravo|Ambati Rayudu|Ruturaj Gaikwad|Chris Jordan|Shivam Dube|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary|Moeen Ali,"Maharashtra Cricket Association Stadium, Pune",GT,GT,CSK
1304076,2022,RR,KKR,Ravichandran Ashwin|Shimron Hetmyer|Sanju Samson|Obed McCoy|Jos Buttler|Devdutt Padikkal|Trent Boult|Riyan Parag|Prasidh Krishna|Karun Nair|Yuzvendra Chahal,Sunil Narine|Aaron Finch|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Sheldon Jackson|Pat Cummins|Shreyas Iyer,"Brabourne Stadium, Mumbai",RR,KKR,RR
1304077,2022,LSG,RCB,Marcus Stoinis|Manish Pandey|Avesh Khan|KL Rahul|Jason Holder|Krunal Pandya|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Ayush Badoni|Deepak Hooda,Wanindu Hasaranga de Silva|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Suyash Prabhudessai|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Virat Kohli|Anuj Rawat|Harshal Patel,"Dr DY Patil Sports Academy, Navi Mumbai",RCB,LSG,RCB
1304078,2022,DC,PBKS,Prithvi Shaw|Kuldeep Yadav|Sarfaraz Khan|Shardul Thakur|Axar Patel|David Warner|Lalit Yadav|Mustafizur Rahman|Khaleel Ahmed,Kagiso Rabada|Rahul Chahar|M Shahrukh Khan|Nathan Ellis|Jonny Bairstow|Jitesh Sharma|Vaibhav Arora|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal,"Brabourne Stadium, Mumbai",DC,DC,PBKS
1304079,2022,MI,CSK,Jaydev Unadkat|Rohit Sharma|Suryakumar Yadav|Hrithik Shokeen|Ishan Kishan|Riley Meredith|Dewald Brevis|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,Robin Uthappa|Dwayne Bravo|Ambati Rayudu|Dwaine Pretorius|Mitchell Santner|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,CSK,MI
1304080,2022,DC,RR,Rovman Powell|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Sarfaraz Khan|Axar Patel|Shardul Thakur|Khaleel Ahmed|David Warner|Mustafizur Rahman|Lalit Yadav,Ravichandran Ashwin|Shimron Hetmyer|Sanju Samson|Obed McCoy|Jos Buttler|Devdutt Padikkal|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal,"Wankhede Stadium, Mumbai",RR,DC,RR
1304081,2022,KKR,GT,Sunil Narine|Tim Southee|Sam Billings|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Varun Chakravarthy|Rinku Singh|Shreyas Iyer,Wriddhiman Saha|Alzarri Joseph|Yash Dayal|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Mohammed Shami,"Dr DY Patil Sports Academy, Navi Mumbai",GT,GT,GT
1304083,2022,LSG,MI,Marcus Stoinis|Manish Pandey|KL Rahul|Jason Holder|Krunal Pandya|Mohsin Khan|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Ayush Badoni|Deepak Hooda,Jaydev Unadkat|Rohit Sharma|Suryakumar Yadav|Hrithik Shokeen|Ishan Kishan|Riley Meredith|Dewald Brevis|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Wankhede Stadium, Mumbai",LSG,MI,LSG
1304084,2022,PBKS,CSK,Kagiso Rabada|Rahul Chahar|Sandeep Sharma|Rishi Dhawan|Jonny Bairstow|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal|Bhanuka Rajapaksa,Robin Uthappa|Dwayne Bravo|Ambati Rayudu|Dwaine Pretorius|Mitchell Santner|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary,"Wankhede Stadium, Mumbai",PBKS,CSK,PBKS
1304085,2022,RCB,RR,Wanindu Hasaranga de Silva|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Suyash Prabhudessai|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Rajat Patidar|Virat Kohli|Harshal Patel,Ravichandran Ashwin|Shimron Hetmyer|Kuldeep Sen|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Daryl Mitchell|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal,"Maharashtra Cricket Association Stadium, Pune",RR,RCB,RR
1304086,2022,GT,SRH,Wriddhiman Saha|Alzarri Joseph|Yash Dayal|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Mohammed Shami,Marco Jansen|Bhuvneshwar Kumar|Washington Sundar|Aiden Markram|Nicholas Pooran|Abhishek Sharma|Umran Malik|Rahul Tripathi|Shashank Singh|T Natarajan|Kane Williamson,"Wankhede Stadium, Mumbai",GT,GT,SRH
1304087,2022,DC,KKR,Mitchell Marsh|Rovman Powell|Prithvi Shaw|Chetan Sakariya|Kuldeep Yadav|Rishabh Pant|Axar Patel|Shardul Thakur|David Warner|Mustafizur Rahman|Lalit Yadav,Sunil Narine|Harshit Rana|Tim Southee|Aaron Finch|Nitish Rana|Andre Russell|Umesh Yadav|Baba Indrajith|Venkatesh Iyer|Rinku Singh|Shreyas Iyer,"Wankhede Stadium, Mumbai",DC,DC,KKR
1304088,2022,PBKS,LSG,Kagiso Rabada|Rahul Chahar|Sandeep Sharma|Rishi Dhawan|Jonny Bairstow|Jitesh Sharma|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Mayank Agarwal|Bhanuka Rajapaksa,Marcus Stoinis|Avesh Khan|KL Rahul|Jason Holder|Krunal Pandya|Mohsin Khan|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Ayush Badoni|Deepak Hooda,"Maharashtra Cricket Association Stadium, Pune",LSG,KXIP,PBKS
1304089,2022,GT,RCB,Wriddhiman Saha|Alzarri Joseph|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Mohammed Shami|Pradeep Sangwan|Hardik Pandya|Shubman Gill|David Miller|Sai Sudharsan,Wanindu Hasaranga de Silva|Mahipal Lomror|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Rajat Patidar|Virat Kohli|Harshal Patel,"Brabourne Stadium, Mumbai",GT,RCB,RCB
1304090,2022,RR,MI,Ravichandran Ashwin|Shimron Hetmyer|Kuldeep Sen|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Daryl Mitchell|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal,Tim David|Rohit Sharma|Suryakumar Yadav|Hrithik Shokeen|Ishan Kishan|Riley Meredith|Daniel Sams|Kumar Kartikeya|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Dr DY Patil Sports Academy, Navi Mumbai",MI,MI,RR
1304091,2022,DC,LSG,Mitchell Marsh|Rovman Powell|Prithvi Shaw|Chetan Sakariya|Kuldeep Yadav|Rishabh Pant|Axar Patel|Shardul Thakur|David Warner|Mustafizur Rahman|Lalit Yadav,Marcus Stoinis|KL Rahul|Jason Holder|Krunal Pandya|Mohsin Khan|Dushmantha Chameera|Quinton de Kock|Krishnappa Gowtham|Ravi Bishnoi|Deepak Hooda,"Wankhede Stadium, Mumbai",LSG,LSG,LSG
1304092,2022,SRH,CSK,Marco Jansen|Bhuvneshwar Kumar|Washington Sundar|Aiden Markram|Nicholas Pooran|Abhishek Sharma|Umran Malik|Rahul Tripathi|Shashank Singh|T Natarajan|Kane Williamson,Simarjeet Singh|Dwaine Pretorius|Mitchell Santner|Ruturaj Gaikwad|MS Dhoni|Devon Conway|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary,"Maharashtra Cricket Association Stadium, Pune",CSK,SRH,CSK
1304093,2022,KKR,RR,Sunil Narine|Tim Southee|Aaron Finch|Nitish Rana|Anukul Roy|Baba Indrajith|Shivam Mavi|Umesh Yadav|Rinku Singh|Shreyas Iyer,Ravichandran Ashwin|Shimron Hetmyer|Kuldeep Sen|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Riyan Parag|Prasidh Krishna|Karun Nair|Yuzvendra Chahal,"Wankhede Stadium, Mumbai",KKR,KKR,RR
1304094,2022,GT,PBKS,Wriddhiman Saha|Alzarri Joseph|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Mohammed Shami|Pradeep Sangwan|Hardik Pandya|Shubman Gill|David Miller|Sai Sudharsan,Kagiso Rabada|Rahul Chahar|Rishi Dhawan|Jonny Bairstow|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Sandeep Sharma|Bhanuka Rajapaksa,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,GT,GT
1304095,2022,RCB,CSK,Wanindu Hasaranga de Silva|Mahipal Lomror|Mohammed Siraj|Glenn Maxwell|Josh Hazlewood|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Rajat Patidar|Virat Kohli|Harshal Patel,Robin Uthappa|Simarjeet Singh|Ambati Rayudu|Dwaine Pretorius|Ruturaj Gaikwad|MS Dhoni|Devon Conway|Ravindra Jadeja|Maheesh Theekshana|Mukesh Choudhary|Moeen Ali,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,RCB
1304096,2022,DC,SRH,Mitchell Marsh|Rovman Powell|Mandeep Singh|Anrich Nortje|Kuldeep Yadav|Rishabh Pant|Shardul Thakur|David Warner|Khaleel Ahmed,Bhuvneshwar Kumar|Aiden Markram|Nicholas Pooran|Shreyas Gopal|Abhishek Sharma|Umran Malik|Sean Abbott|Rahul Tripathi|Shashank Singh|Kartik Tyagi|Kane Williamson,"Brabourne Stadium, Mumbai",DC,SRH,DC
1304097,2022,GT,MI,Wriddhiman Saha|Alzarri Joseph|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Mohammed Shami|Pradeep Sangwan|Hardik Pandya|Shubman Gill|David Miller|Sai Sudharsan,Tim David|Rohit Sharma|Suryakumar Yadav|Ishan Kishan|Murugan Ashwin|Riley Meredith|Daniel Sams|Kumar Kartikeya|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Brabourne Stadium, Mumbai",MI,GT,MI
