PLAYER_NAME,PLAYER_TYPE,IPL_TEAM
Anshul Kamboj,All-Rounder,CSK
Deepak Hooda,All-Rounder,CSK
Jamie Overton,All-Rounder,CSK
Kamlesh Nagarkoti,All-Rounder,CSK
Rachin Ravindra,All-Rounder,CSK
Ramakrishna Ghosh,All-Rounder,CSK
Ravichandran Ashwin,All-Rounder,CSK
Ravindra Jadeja,All-Rounder,CSK
Sam Curran,All-Rounder,CSK
Shivam Dube,All-Rounder,CSK
Vijay Shankar,All-Rounder,CSK
Andre Siddarth,Batter,CSK
Ayush Mhatre,Batter,CSK
Devon Conway,Batter,CSK
Dewald Brevis,Batter,CSK
Rahul Tripathi,Batter,CSK
Shaik Rasheed,Batter,CSK
Ruturaj Gaikwad,Batter ,CSK
Gurjapneet Singh,Bowler,CSK
Khaleel Ahmed,Bowler,CSK
Matheesha Pathirana,Bowler,CSK
Mukesh Choudhary,Bowler,CSK
Nathan Ellis,Bowler,CSK
Noor Ahmad,Bowler,CSK
Shreyas Gopal,Bowler,CSK
MS Dhoni,WK-Batter,CSK
Urvil Patel,WK-Batter,CSK
Vansh Bedi,WK-Batter,CSK
Ajay Mandal,All-Rounder,DC
Ashutosh Sharma,All-Rounder,DC
Axar Patel,All-Rounder,DC
Darshan Nalkande,All-Rounder,DC
Madhav Tiwari,All-Rounder,DC
Manvanth Kumar,All-Rounder,DC
Sameer Rizvi,All-Rounder,DC
Tripurana Vijay,All-Rounder,DC
Vipraj Nigam,All-Rounder,DC
Faf du Plessis,Batter,DC
Karun Nair,Batter,DC
Sediqullah Atal,Batter,DC
Harry Brook,Batter ,DC
Jake Fraser-McGurk,Batter ,DC
Dushmantha Chameera,Bowler,DC
Kuldeep Yadav,Bowler,DC
Mitchell Starc,Bowler,DC
Mohit Sharma,Bowler,DC
Mukesh Kumar,Bowler,DC
Mustafizur Rahman,Bowler,DC
T Natarajan,Bowler,DC
Abishek Porel,WK-Batter,DC
Donovan Ferreira,WK-Batter,DC
KL Rahul,WK-Batter,DC
Tristan Stubbs,WK-Batter,DC
Arshad Khan,All-Rounder,GT
Dasun Shanaka,All-Rounder,GT
Jayant Yadav,All-Rounder,GT
Karim Janat,All-Rounder,GT
M Shahrukh Khan,All-Rounder,GT
Mahipal Lomror,All-Rounder,GT
Nishant Sindhu,All-Rounder,GT
Sai Kishore,All-Rounder,GT
Sai Sudharsan,All-Rounder,GT
Washington Sundar,All-Rounder,GT
Kusal Mendis,Batter,GT
Sherfane Rutherford,Batter,GT
Shubman Gill,Batter,GT
Glenn Phillips,Batter ,GT
Gerald Coetzee,Bowler,GT
Gurnoor Brar,Bowler,GT
Ishant Sharma,Bowler,GT
Kagiso Rabada,Bowler,GT
Kulwant Khejroliya,Bowler,GT
Manav Suthar,Bowler,GT
Mohammed Siraj,Bowler,GT
Prasidh Krishna,Bowler,GT
Rahul Tewatia,Bowler,GT
Rashid Khan,Bowler,GT
Anuj Rawat,WK-Batter,GT
Jos Buttler,WK-Batter,GT
Kumar Kushagra,WK-Batter,GT
Andre Russell,All-Rounder,KKR
Anukul Roy,All-Rounder,KKR
Moeen Ali,All-Rounder,KKR
Ramandeep Singh,All-Rounder,KKR
Venkatesh Iyer,All-Rounder,KKR
Ajinkya Rahane,Batter,KKR
Angkrish Raghuvanshi,Batter,KKR
Manish Pandey,Batter,KKR
Rinku Singh,Batter,KKR
Rovman Powell,Batter ,KKR
Anrich Nortje,Bowler,KKR
Chetan Sakariya,Bowler,KKR
Harshit Rana,Bowler,KKR
Mayank Markande,Bowler,KKR
Shivam Shukla,Bowler,KKR
Spencer Johnson,Bowler,KKR
Sunil Narine,Bowler,KKR
Umran Malik,Bowler,KKR
Vaibhav Arora,Bowler,KKR
Varun Chakravarthy,Bowler,KKR
Luvnith Sisodia,WK-Batter,KKR
Quinton de Kock,WK-Batter,KKR
Rahmanullah Gurbaz,WK-Batter,KKR
Abdul Samad,All-Rounder,LSG
Arshin Kulkarni,All-Rounder,LSG
Ayush Badoni,All-Rounder,LSG
Mitchell Marsh,All-Rounder,LSG
Rajvardhan Hangargekar,All-Rounder,LSG
Shahbaz Ahmed,All-Rounder,LSG
Shardul Thakur,All-Rounder,LSG
Yuvraj Chaudhary,All-Rounder,LSG
Aiden Markram,Batter,LSG
David Miller,Batter,LSG
Himmat Singh,Batter,LSG
Matthew Breetzke,Batter,LSG
Akash Deep,Bowler,LSG
Akash Singh,Bowler,LSG
Avesh Khan,Bowler,LSG
Digvesh Singh,Bowler,LSG
M Siddharth,Bowler,LSG
Mohsin Khan,Bowler,LSG
Prince Yadav,Bowler,LSG
Ravi Bishnoi,Bowler,LSG
Shamar Joseph,Bowler,LSG
William O’Rourke,Bowler,LSG
Aryan Juyal,WK-Batter,LSG
Nicholas Pooran,WK-Batter,LSG
Rishabh Pant,WK-Batter,LSG
Hardik Pandya,All-Rounder,MI
Mitchell Santner,All-Rounder,MI
Naman Dhir,All-Rounder,MI
Raj Bawa,All-Rounder,MI
Will Jacks,All-Rounder,MI
Bevon Jacobs,Batter,MI
Rohit Sharma,Batter,MI
Suryakumar Yadav,Batter,MI
Tilak Varma,Batter,MI
Allah Ghazanfar,Bowler,MI
Arjun Tendulkar,Bowler,MI
Ashwani Kumar,Bowler,MI
Charith Asalanka,Bowler,MI
Deepak Chahar,Bowler,MI
Jasprit Bumrah,Bowler,MI
Karn Sharma,Bowler,MI
Lizaad Williams,Bowler,MI
Mujeeb-ur-Rahman,Bowler,MI
Raghu Sharma,Bowler,MI
Reece Topley,Bowler,MI
Richard Gleeson,Bowler,MI
Trent Boult,Bowler,MI
V Satyanarayana Penmetsa,Bowler,MI
Vignesh Puthur,Bowler,MI
Jonny Bairstow,WK-Batter,MI
Robin Minz,WK-Batter,MI
Ryan Rickelton,WK-Batter,MI
Shrijith Krishnan,WK-Batter,MI
Aaron Hardie,All-Rounder,PK
Azmatullah Omarzai,All-Rounder,PK
Glenn Maxwell,All-Rounder,PK
Harpreet Brar,All-Rounder,PK
Marco Jansen,All-Rounder,PK
Marcus Stoinis,All-Rounder,PK
Musheer Khan,All-Rounder,PK
Priyansh Arya,All-Rounder,PK
Suryansh Shedge,All-Rounder,PK
Harnoor Pannu,Batter,PK
Mitch Owen,Batter,PK
Nehal Wadhera,Batter,PK
Pyla Avinash,Batter,PK
Shashank Singh,Batter,PK
Shreyas Iyer,Batter,PK
Arshdeep Singh,Bowler,PK
Kuldeep Sen,Bowler,PK
Kyle Jamieson,Bowler,PK
Lockie Ferguson,Bowler,PK
Praveen Dubey,Bowler,PK
Vijaykumar Vyshak,Bowler,PK
Xavier Bartlett,Bowler,PK
Yash Thakur,Bowler,PK
Yuzvendra Chahal,Bowler,PK
Josh Inglis,WK-Batter,PK
Prabhsimran Singh,WK-Batter,PK
Vishnu Vinod,WK-Batter,PK
Jacob Bethell,All-Rounder,RCB
Krunal Pandya,All-Rounder,RCB
Liam Livingstone,All-Rounder,RCB
Manoj Bhandage,All-Rounder,RCB
Romario Shepherd,All-Rounder,RCB
Swapnil Singh,All-Rounder,RCB
Tim David,All-Rounder,RCB
Mayank Agarwal,Batter,RCB
Rajat Patidar,Batter,RCB
Swastik Chhikara,Batter,RCB
Virat Kohli,Batter,RCB
Devdutt Padikkal,Batter ,RCB
Abhinandan Singh,Bowler,RCB
Bhuvneshwar Kumar,Bowler,RCB
Blessing Muzarabani,Bowler,RCB
Josh Hazlewood,Bowler,RCB
Lungisani Ngidi,Bowler,RCB
Mohit Rathee,Bowler,RCB
Nuwan Thushara,Bowler,RCB
Rasikh Salam,Bowler,RCB
Suyash Sharma,Bowler,RCB
Yash Dayal,Bowler,RCB
Jitesh Sharma,WK-Batter,RCB
Phil Salt,WK-Batter,RCB
Tim Seifert,WK-Batter,RCB
Nitish Rana,All-Rounder,RR
Yudhvir Singh,All-Rounder,RR
Lhuan-dre Pretorius,Batter,RR
Riyan Parag,Batter,RR
Shimron Hetmyer,Batter,RR
Shubham Dubey,Batter,RR
Vaibhav Suryavanshi,Batter,RR
Yashasvi Jaiswal,Batter,RR
Akash Madhwal,Bowler,RR
Ashok Sharma,Bowler,RR
Fazalhaq Farooqi,Bowler,RR
Jofra Archer,Bowler,RR
Kumar Kartikeya,Bowler,RR
Kwena Maphaka,Bowler,RR
Maheesh Theekshana,Bowler,RR
Nandre Burger,Bowler,RR
Sandeep Sharma,Bowler,RR
Tushar Deshpande,Bowler,RR
Wanindu Hasaranga,Bowler,RR
Dhruv Jurel,WK-Batter,RR
Kunal Rathore,WK-Batter,RR
Sanju Samson,WK-Batter,RR
Abhishek Sharma,All-Rounder,SRH
Brydon Carse,All-Rounder,SRH
Harsh Dubey,All-Rounder,SRH
Harshal Patel,All-Rounder,SRH
Kamindu Mendis,All-Rounder,SRH
Nitish Kumar Reddy,All-Rounder,SRH
Wiaan Mulder,All-Rounder,SRH
Abhinav Manohar,Batter,SRH
Aniket Verma,Batter,SRH
Atharva Taide,Batter,SRH
Sachin Baby,Batter,SRH
Smaran Ravichandran,Batter,SRH
Travis Head,Batter,SRH
Adam Zampa,Bowler,SRH
Eshan Malinga,Bowler,SRH
Jaydev Unadkat,Bowler,SRH
Mohammed Shami,Bowler,SRH
Pat Cummins,Bowler,SRH
Rahul Chahar,Bowler,SRH
Simarjeet Singh,Bowler,SRH
Zeeshan Ansari,Bowler,SRH
Heinrich Klaasen,WK-Batter,SRH
Ishan Kishan,WK-Batter,SRH